"Tanggal","Hari","Nama Produk","Stok","Terjual"
"2/10/2025","Kamis","SUPER JUMBO RAWIT","48","29"
"2/10/2025","Kamis","SUPER JUMBO PINK","116","67"
"2/10/2025","Kamis","SUPER JUMBO FREE MAN","35","13"
"2/10/2025","Kamis","SUPER JUMBO YELLOW","49","34"
"2/10/2025","Kamis","GHOSTING","92","38"
"2/10/2025","Kamis","GHOSTING FIRE SMALL","57","13"
"2/10/2025","Kamis","GHOSTING FIRE BIG","67","5"
"2/10/2025","Kamis","GHOSTING GREEN","76","31"
"2/10/2025","Kamis","MOZARELLA","45","2"
"2/10/2025","Kamis","JAHAT ORI","96","40"
"2/10/2025","Kamis","JAHAT BAKAR","55","23"
"2/10/2025","Kamis","SMALL SADIS","37","24"
"2/10/2025","Kamis","MEDIUM SADIS","116","64"
"2/10/2025","Kamis","JUMBO SADIS","46","20"
"2/10/2025","Kamis","SUPER JUMBO SADIS","76","46"
"2/10/2025","Kamis","RAKSASA SADIS","72","27"
"2/10/2025","Kamis","MEGA SADIS","94","54"
"2/10/2025","Kamis","MEGA ORI","94","37"
"2/10/2025","Kamis","Dage SACU varian","47","21"
"2/10/2025","Kamis","Dage SACU Ori","116","53"
"2/10/2025","Kamis","Mendoan SACU Ori","45","33"
"2/10/2025","Kamis","Mendoan SACU Varian","34","14"
"2/10/2025","Kamis","Mendoan Sacu Bakar","70","35"
"2/10/2025","Kamis","FREE MAN BIG","114","1"
"2/10/2025","Kamis","SACU JUMBO","66","39"
"2/10/2025","Kamis","SACU JUMBO SADIS","39","14"
"3/10/2025","Jumat","GETUK ORI 1 KG","91","60"
"3/10/2025","Jumat","GETUK ORIGINAL 1/2KG","117","47"
"3/10/2025","Jumat","GETUK ORIGINAL 1/4KG","70","46"
"3/10/2025","Jumat","GETUK RASA/MIX 1 KG","44","26"
"3/10/2025","Jumat","GETUK RASA/MIX 1/2KG","76","50"
"3/10/2025","Jumat","GETUK RASA/MIX 1/4KG","45","23"
"3/10/2025","Jumat","GETUK RASA DURIAN 1KG","95","28"
"3/10/2025","Jumat","GETUK RASA DURIAN 1/2KG","46","12"
"3/10/2025","Jumat","GETUK RASA DURIAN 1/4KG","112","15"
"3/10/2025","Jumat","GETUK BASAH 1/2KG","113","45"
"3/10/2025","Jumat","GETUK BASAH 1/4KG","87","25"
"3/10/2025","Jumat","SMALL ORI","48","44"
"3/10/2025","Jumat","SMALL RAWIT","69","44"
"3/10/2025","Jumat","SMALL PINK","74","41"
"3/10/2025","Jumat","SMALL FREE MAN","57","1"
"3/10/2025","Jumat","SMALL YELLOW","90","27"
"3/10/2025","Jumat","MEDIUM ORI","93","75"
"3/10/2025","Jumat","MEDIUM BAKAR","62","28"
"3/10/2025","Jumat","MEDIUM RAWIT","99","35"
"3/10/2025","Jumat","MEDIUM PINK","62","43"
"3/10/2025","Jumat","MEDIUM FREE MAN","93","45"
"3/10/2025","Jumat","MEDIUM YELLOW","31","14"
"3/10/2025","Jumat","JUMBO ORI","117","84"
"3/10/2025","Jumat","JUMBO RAWIT","59","30"
"3/10/2025","Jumat","JUMBO PINK","89","43"
"3/10/2025","Jumat","JUMBO BAKAR","51","31"
"3/10/2025","Jumat","JUMBO FREE MAN","59","41"
"3/10/2025","Jumat","JUMBO YELLOW","77","46"
"3/10/2025","Jumat","RAKSASA ORI","55","25"
"3/10/2025","Jumat","RAKSASA BAKAR","88","50"
"3/10/2025","Jumat","RAKSASA RAWIT","91","63"
"3/10/2025","Jumat","RAKSASA PINK","51","32"
"3/10/2025","Jumat","RAKSASA FREE MAN","83","7"
"3/10/2025","Jumat","RAKSASA YELLOW","35","21"
"3/10/2025","Jumat","SUPER JUMBO ORI","91","33"
"3/10/2025","Jumat","SUPER JUMBO BAKAR","47","32"
"3/10/2025","Jumat","SUPER JUMBO RAWIT","53","15"
"3/10/2025","Jumat","SUPER JUMBO PINK","34","19"
"3/10/2025","Jumat","SUPER JUMBO FREE MAN","117","42"
"3/10/2025","Jumat","SUPER JUMBO YELLOW","73","26"
"3/10/2025","Jumat","GHOSTING","51","23"
"3/10/2025","Jumat","GHOSTING FIRE SMALL","94","37"
"3/10/2025","Jumat","GHOSTING FIRE BIG","84","19"
"3/10/2025","Jumat","GHOSTING GREEN","49","34"
"3/10/2025","Jumat","MOZARELLA","113","23"
"3/10/2025","Jumat","JAHAT ORI","66","36"
"3/10/2025","Jumat","JAHAT BAKAR","43","28"
"3/10/2025","Jumat","SMALL SADIS","44","30"
"3/10/2025","Jumat","MEDIUM SADIS","85","49"
"3/10/2025","Jumat","JUMBO SADIS","116","43"
"3/10/2025","Jumat","SUPER JUMBO SADIS","120","62"
"3/10/2025","Jumat","RAKSASA SADIS","68","32"
"3/10/2025","Jumat","MEGA SADIS","46","19"
"3/10/2025","Jumat","MEGA ORI","31","16"
"3/10/2025","Jumat","Dage SACU varian","80","25"
"3/10/2025","Jumat","Dage SACU Ori","53","24"
"3/10/2025","Jumat","Mendoan SACU Ori","55","44"
"3/10/2025","Jumat","Mendoan SACU Varian","65","45"
"3/10/2025","Jumat","Mendoan Sacu Bakar","84","53"
"3/10/2025","Jumat","FREE MAN BIG","91","6"
"3/10/2025","Jumat","SACU JUMBO","96","51"
"3/10/2025","Jumat","SACU JUMBO SADIS","67","26"
"4/10/2025","Sabtu","GETUK ORI 1 KG","112","88"
"4/10/2025","Sabtu","GETUK ORIGINAL 1/2KG","66","31"
"4/10/2025","Sabtu","GETUK ORIGINAL 1/4KG","50","31"
"4/10/2025","Sabtu","GETUK RASA/MIX 1 KG","95","76"
"4/10/2025","Sabtu","GETUK RASA/MIX 1/2KG","78","28"
"4/10/2025","Sabtu","GETUK RASA/MIX 1/4KG","46","24"
"4/10/2025","Sabtu","GETUK RASA DURIAN 1KG","71","38"
"4/10/2025","Sabtu","GETUK RASA DURIAN 1/2KG","96","56"
"4/10/2025","Sabtu","GETUK RASA DURIAN 1/4KG","115","102"
"4/10/2025","Sabtu","GETUK BASAH 1/2KG","39","14"
"4/10/2025","Sabtu","GETUK BASAH 1/4KG","76","1"
"4/10/2025","Sabtu","SMALL ORI","51","39"
"4/10/2025","Sabtu","SMALL RAWIT","118","72"
"4/10/2025","Sabtu","SMALL PINK","74","31"
"4/10/2025","Sabtu","SMALL FREE MAN","31","1"
"4/10/2025","Sabtu","SMALL YELLOW","51","24"
"4/10/2025","Sabtu","MEDIUM ORI","52","31"
"4/10/2025","Sabtu","MEDIUM BAKAR","35","14"
"4/10/2025","Sabtu","MEDIUM RAWIT","84","36"
"4/10/2025","Sabtu","MEDIUM PINK","67","29"
"4/10/2025","Sabtu","MEDIUM FREE MAN","102","60"
"4/10/2025","Sabtu","MEDIUM YELLOW","111","58"
"4/10/2025","Sabtu","JUMBO ORI","74","63"
"4/10/2025","Sabtu","JUMBO RAWIT","48","30"
"4/10/2025","Sabtu","JUMBO PINK","89","36"
"4/10/2025","Sabtu","JUMBO BAKAR","93","57"
"4/10/2025","Sabtu","JUMBO FREE MAN","105","58"
"4/10/2025","Sabtu","JUMBO YELLOW","81","53"
"4/10/2025","Sabtu","RAKSASA ORI","100","66"
"4/10/2025","Sabtu","RAKSASA BAKAR","43","29"
"4/10/2025","Sabtu","RAKSASA RAWIT","107","74"
"4/10/2025","Sabtu","RAKSASA PINK","61","36"
"4/10/2025","Sabtu","RAKSASA FREE MAN","76","19"
"4/10/2025","Sabtu","RAKSASA YELLOW","67","43"
"4/10/2025","Sabtu","SUPER JUMBO ORI","40","28"
"4/10/2025","Sabtu","SUPER JUMBO BAKAR","66","28"
"4/10/2025","Sabtu","SUPER JUMBO RAWIT","34","22"
"4/10/2025","Sabtu","SUPER JUMBO PINK","96","50"
"4/10/2025","Sabtu","SUPER JUMBO FREE MAN","64","37"
"4/10/2025","Sabtu","SUPER JUMBO YELLOW","110","43"
"4/10/2025","Sabtu","GHOSTING","119","76"
"4/10/2025","Sabtu","GHOSTING FIRE SMALL","84","80"
"4/10/2025","Sabtu","GHOSTING FIRE BIG","80","50"
"4/10/2025","Sabtu","GHOSTING GREEN","51","31"
"4/10/2025","Sabtu","MOZARELLA","32","19"
"4/10/2025","Sabtu","JAHAT ORI","81","46"
"4/10/2025","Sabtu","JAHAT BAKAR","78","40"
"4/10/2025","Sabtu","SMALL SADIS","93","64"
"4/10/2025","Sabtu","MEDIUM SADIS","72","29"
"4/10/2025","Sabtu","JUMBO SADIS","114","39"
"4/10/2025","Sabtu","SUPER JUMBO SADIS","84","48"
"4/10/2025","Sabtu","RAKSASA SADIS","94","51"
"4/10/2025","Sabtu","MEGA SADIS","62","43"
"4/10/2025","Sabtu","MEGA ORI","60","39"
"4/10/2025","Sabtu","Dage SACU varian","110","40"
"4/10/2025","Sabtu","Dage SACU Ori","32","16"
"4/10/2025","Sabtu","Mendoan SACU Ori","55","39"
"4/10/2025","Sabtu","Mendoan SACU Varian","87","33"
"4/10/2025","Sabtu","Mendoan Sacu Bakar","76","41"
"4/10/2025","Sabtu","FREE MAN BIG","92","14"
"4/10/2025","Sabtu","SACU JUMBO","117","43"
"4/10/2025","Sabtu","SACU JUMBO SADIS","58","30"
"5/10/2025","Minggu","GETUK ORI 1 KG","86","64"
"5/10/2025","Minggu","GETUK ORIGINAL 1/2KG","73","44"
"5/10/2025","Minggu","GETUK ORIGINAL 1/4KG","116","63"
"5/10/2025","Minggu","GETUK RASA/MIX 1 KG","115","71"
"5/10/2025","Minggu","GETUK RASA/MIX 1/2KG","107","51"
"5/10/2025","Minggu","GETUK RASA/MIX 1/4KG","118","64"
"5/10/2025","Minggu","GETUK RASA DURIAN 1KG","86","65"
"5/10/2025","Minggu","GETUK RASA DURIAN 1/2KG","112","97"
"5/10/2025","Minggu","GETUK RASA DURIAN 1/4KG","68","55"
"5/10/2025","Minggu","GETUK BASAH 1/2KG","69","35"
"5/10/2025","Minggu","GETUK BASAH 1/4KG","60","2"
"5/10/2025","Minggu","SMALL ORI","34","23"
"5/10/2025","Minggu","SMALL RAWIT","110","34"
"5/10/2025","Minggu","SMALL PINK","116","55"
"5/10/2025","Minggu","SMALL FREE MAN","30","3"
"5/10/2025","Minggu","SMALL YELLOW","34","20"
"5/10/2025","Minggu","MEDIUM ORI","98","78"
"5/10/2025","Minggu","MEDIUM BAKAR","73","45"
"5/10/2025","Minggu","MEDIUM RAWIT","94","33"
"5/10/2025","Minggu","MEDIUM PINK","35","22"
"5/10/2025","Minggu","MEDIUM FREE MAN","96","30"
"5/10/2025","Minggu","MEDIUM YELLOW","42","25"
"5/10/2025","Minggu","JUMBO ORI","32","22"
"5/10/2025","Minggu","JUMBO RAWIT","37","25"
"5/10/2025","Minggu","JUMBO PINK","82","35"
"5/10/2025","Minggu","JUMBO BAKAR","52","26"
"5/10/2025","Minggu","JUMBO FREE MAN","104","65"
"5/10/2025","Minggu","JUMBO YELLOW","99","67"
"5/10/2025","Minggu","RAKSASA ORI","96","53"
"5/10/2025","Minggu","RAKSASA BAKAR","108","46"
"5/10/2025","Minggu","RAKSASA RAWIT","84","53"
"5/10/2025","Minggu","RAKSASA PINK","99","55"
"5/10/2025","Minggu","RAKSASA FREE MAN","64","13"
"5/10/2025","Minggu","RAKSASA YELLOW","109","53"
"5/10/2025","Minggu","SUPER JUMBO ORI","59","18"
"5/10/2025","Minggu","SUPER JUMBO BAKAR","33","10"
"5/10/2025","Minggu","SUPER JUMBO RAWIT","102","50"
"5/10/2025","Minggu","SUPER JUMBO PINK","57","36"
"5/10/2025","Minggu","SUPER JUMBO FREE MAN","68","29"
"5/10/2025","Minggu","SUPER JUMBO YELLOW","112","48"
"5/10/2025","Minggu","GHOSTING","108","60"
"5/10/2025","Minggu","GHOSTING FIRE SMALL","73","39"
"5/10/2025","Minggu","GHOSTING FIRE BIG","53","34"
"5/10/2025","Minggu","GHOSTING GREEN","78","29"
"5/10/2025","Minggu","MOZARELLA","106","77"
"5/10/2025","Minggu","JAHAT ORI","91","58"
"5/10/2025","Minggu","JAHAT BAKAR","43","24"
"5/10/2025","Minggu","SMALL SADIS","36","11"
"5/10/2025","Minggu","MEDIUM SADIS","88","45"
"5/10/2025","Minggu","JUMBO SADIS","94","32"
"5/10/2025","Minggu","SUPER JUMBO SADIS","91","62"
"5/10/2025","Minggu","RAKSASA SADIS","47","30"
"5/10/2025","Minggu","MEGA SADIS","87","57"
"5/10/2025","Minggu","MEGA ORI","87","44"
"5/10/2025","Minggu","Dage SACU varian","47","19"
"5/10/2025","Minggu","Dage SACU Ori","54","25"
"5/10/2025","Minggu","Mendoan SACU Ori","93","82"
"5/10/2025","Minggu","Mendoan SACU Varian","57","37"
"5/10/2025","Minggu","Mendoan Sacu Bakar","37","23"
"5/10/2025","Minggu","FREE MAN BIG","98","26"
"5/10/2025","Minggu","SACU JUMBO","59","23"
"5/10/2025","Minggu","SACU JUMBO SADIS","61","26"
"6/10/2025","Senin","GETUK ORI 1 KG","86","55"
"6/10/2025","Senin","GETUK ORIGINAL 1/2KG","77","27"
"6/10/2025","Senin","GETUK ORIGINAL 1/4KG","53","33"
"6/10/2025","Senin","GETUK RASA/MIX 1 KG","62","37"
"6/10/2025","Senin","GETUK RASA/MIX 1/2KG","34","18"
"6/10/2025","Senin","GETUK RASA/MIX 1/4KG","44","20"
"6/10/2025","Senin","GETUK RASA DURIAN 1KG","81","25"
"6/10/2025","Senin","GETUK RASA DURIAN 1/2KG","120","11"
"6/10/2025","Senin","GETUK RASA DURIAN 1/4KG","107","9"
"6/10/2025","Senin","GETUK BASAH 1/2KG","111","54"
"6/10/2025","Senin","GETUK BASAH 1/4KG","84","22"
"6/10/2025","Senin","SMALL ORI","59","59"
"6/10/2025","Senin","SMALL RAWIT","94","59"
"6/10/2025","Senin","SMALL PINK","109","75"
"6/10/2025","Senin","SMALL FREE MAN","39","2"
"6/10/2025","Senin","SMALL YELLOW","43","22"
"6/10/2025","Senin","MEDIUM ORI","84","68"
"6/10/2025","Senin","MEDIUM BAKAR","100","36"
"6/10/2025","Senin","MEDIUM RAWIT","94","43"
"6/10/2025","Senin","MEDIUM PINK","44","16"
"6/10/2025","Senin","MEDIUM FREE MAN","94","51"
"6/10/2025","Senin","MEDIUM YELLOW","71","31"
"6/10/2025","Senin","JUMBO ORI","42","35"
"6/10/2025","Senin","JUMBO RAWIT","59","33"
"6/10/2025","Senin","JUMBO PINK","75","23"
"6/10/2025","Senin","JUMBO BAKAR","35","12"
"6/10/2025","Senin","JUMBO FREE MAN","50","30"
"6/10/2025","Senin","JUMBO YELLOW","100","35"
"6/10/2025","Senin","RAKSASA ORI","106","45"
"6/10/2025","Senin","RAKSASA BAKAR","37","15"
"6/10/2025","Senin","RAKSASA RAWIT","42","12"
"6/10/2025","Senin","RAKSASA PINK","115","72"
"6/10/2025","Senin","RAKSASA FREE MAN","102","30"
"6/10/2025","Senin","RAKSASA YELLOW","94","29"
"6/10/2025","Senin","SUPER JUMBO ORI","104","44"
"6/10/2025","Senin","SUPER JUMBO BAKAR","115","78"
"6/10/2025","Senin","SUPER JUMBO RAWIT","90","39"
"6/10/2025","Senin","SUPER JUMBO PINK","101","65"
"6/10/2025","Senin","SUPER JUMBO FREE MAN","65","21"
"6/10/2025","Senin","SUPER JUMBO YELLOW","67","21"
"6/10/2025","Senin","GHOSTING","54","26"
"6/10/2025","Senin","GHOSTING FIRE SMALL","71","28"
"6/10/2025","Senin","GHOSTING FIRE BIG","107","42"
"6/10/2025","Senin","GHOSTING GREEN","114","54"
"6/10/2025","Senin","MOZARELLA","49","11"
"6/10/2025","Senin","JAHAT ORI","33","21"
"6/10/2025","Senin","JAHAT BAKAR","113","34"
"6/10/2025","Senin","SMALL SADIS","101","56"
"6/10/2025","Senin","MEDIUM SADIS","59","32"
"6/10/2025","Senin","JUMBO SADIS","109","74"
"6/10/2025","Senin","SUPER JUMBO SADIS","106","39"
"6/10/2025","Senin","RAKSASA SADIS","76","43"
"6/10/2025","Senin","MEGA SADIS","90","47"
"6/10/2025","Senin","MEGA ORI","107","68"
"6/10/2025","Senin","Dage SACU varian","44","22"
"6/10/2025","Senin","Dage SACU Ori","88","38"
"6/10/2025","Senin","Mendoan SACU Ori","98","67"
"6/10/2025","Senin","Mendoan SACU Varian","83","36"
"6/10/2025","Senin","Mendoan Sacu Bakar","36","19"
"6/10/2025","Senin","FREE MAN BIG","95","24"
"6/10/2025","Senin","SACU JUMBO","75","24"
"6/10/2025","Senin","SACU JUMBO SADIS","69","23"
"7/10/2025","Selasa","GETUK ORI 1 KG","52","42"
"7/10/2025","Selasa","GETUK ORIGINAL 1/2KG","76","49"
"7/10/2025","Selasa","GETUK ORIGINAL 1/4KG","84","51"
"7/10/2025","Selasa","GETUK RASA/MIX 1 KG","99","71"
"7/10/2025","Selasa","GETUK RASA/MIX 1/2KG","54","31"
"7/10/2025","Selasa","GETUK RASA/MIX 1/4KG","40","20"
"7/10/2025","Selasa","GETUK RASA DURIAN 1KG","66","11"
"7/10/2025","Selasa","GETUK RASA DURIAN 1/2KG","48","17"
"7/10/2025","Selasa","GETUK RASA DURIAN 1/4KG","85","29"
"7/10/2025","Selasa","GETUK BASAH 1/2KG","91","33"
"7/10/2025","Selasa","GETUK BASAH 1/4KG","102","16"
"7/10/2025","Selasa","SMALL ORI","95","64"
"7/10/2025","Selasa","SMALL RAWIT","86","55"
"7/10/2025","Selasa","SMALL PINK","54","27"
"7/10/2025","Selasa","SMALL FREE MAN","118","17"
"7/10/2025","Selasa","SMALL YELLOW","73","24"
"7/10/2025","Selasa","MEDIUM ORI","54","36"
"7/10/2025","Selasa","MEDIUM BAKAR","69","22"
"7/10/2025","Selasa","MEDIUM RAWIT","92","44"
"7/10/2025","Selasa","MEDIUM PINK","61","42"
"7/10/2025","Selasa","MEDIUM FREE MAN","37","17"
"7/10/2025","Selasa","MEDIUM YELLOW","108","33"
"7/10/2025","Selasa","JUMBO ORI","101","69"
"7/10/2025","Selasa","JUMBO RAWIT","46","16"
"7/10/2025","Selasa","JUMBO PINK","60","18"
"7/10/2025","Selasa","JUMBO BAKAR","95","44"
"7/10/2025","Selasa","JUMBO FREE MAN","65","27"
"7/10/2025","Selasa","JUMBO YELLOW","106","60"
"7/10/2025","Selasa","RAKSASA ORI","120","54"
"7/10/2025","Selasa","RAKSASA BAKAR","34","21"
"7/10/2025","Selasa","RAKSASA RAWIT","54","21"
"7/10/2025","Selasa","RAKSASA PINK","38","21"
"7/10/2025","Selasa","RAKSASA FREE MAN","41","1"
"7/10/2025","Selasa","RAKSASA YELLOW","109","44"
"7/10/2025","Selasa","SUPER JUMBO ORI","71","28"
"7/10/2025","Selasa","SUPER JUMBO BAKAR","113","51"
"7/10/2025","Selasa","SUPER JUMBO RAWIT","98","43"
"7/10/2025","Selasa","SUPER JUMBO PINK","96","34"
"7/10/2025","Selasa","SUPER JUMBO FREE MAN","45","25"
"7/10/2025","Selasa","SUPER JUMBO YELLOW","44","30"
"7/10/2025","Selasa","GHOSTING","38","17"
"7/10/2025","Selasa","GHOSTING FIRE SMALL","33","2"
"7/10/2025","Selasa","GHOSTING FIRE BIG","110","38"
"7/10/2025","Selasa","GHOSTING GREEN","57","37"
"7/10/2025","Selasa","MOZARELLA","79","13"
"7/10/2025","Selasa","JAHAT ORI","66","46"
"7/10/2025","Selasa","JAHAT BAKAR","79","45"
"7/10/2025","Selasa","SMALL SADIS","50","35"
"7/10/2025","Selasa","MEDIUM SADIS","89","39"
"7/10/2025","Selasa","JUMBO SADIS","83","41"
"7/10/2025","Selasa","SUPER JUMBO SADIS","72","23"
"7/10/2025","Selasa","RAKSASA SADIS","61","19"
"7/10/2025","Selasa","MEGA SADIS","120","72"
"7/10/2025","Selasa","MEGA ORI","119","52"
"7/10/2025","Selasa","Dage SACU varian","77","25"
"7/10/2025","Selasa","Dage SACU Ori","103","37"
"7/10/2025","Selasa","Mendoan SACU Ori","109","103"
"7/10/2025","Selasa","Mendoan SACU Varian","116","61"
"7/10/2025","Selasa","Mendoan Sacu Bakar","76","32"
"7/10/2025","Selasa","FREE MAN BIG","34","6"
"7/10/2025","Selasa","SACU JUMBO","107","60"
"7/10/2025","Selasa","SACU JUMBO SADIS","81","33"
"8/10/2025","Rabu","GETUK ORI 1 KG","87","62"
"8/10/2025","Rabu","GETUK ORIGINAL 1/2KG","81","39"
"8/10/2025","Rabu","GETUK ORIGINAL 1/4KG","59","41"
"8/10/2025","Rabu","GETUK RASA/MIX 1 KG","73","69"
"8/10/2025","Rabu","GETUK RASA/MIX 1/2KG","109","48"
"8/10/2025","Rabu","GETUK RASA/MIX 1/4KG","78","35"
"8/10/2025","Rabu","GETUK RASA DURIAN 1KG","44","13"
"8/10/2025","Rabu","GETUK RASA DURIAN 1/2KG","118","20"
"8/10/2025","Rabu","GETUK RASA DURIAN 1/4KG","75","28"
"8/10/2025","Rabu","GETUK BASAH 1/2KG","94","49"
"8/10/2025","Rabu","GETUK BASAH 1/4KG","34","5"
"8/10/2025","Rabu","SMALL ORI","47","38"
"8/10/2025","Rabu","SMALL RAWIT","66","42"
"8/10/2025","Rabu","SMALL PINK","57","17"
"8/10/2025","Rabu","SMALL FREE MAN","86","23"
"8/10/2025","Rabu","SMALL YELLOW","76","38"
"8/10/2025","Rabu","MEDIUM ORI","79","67"
"8/10/2025","Rabu","MEDIUM BAKAR","107","44"
"8/10/2025","Rabu","MEDIUM RAWIT","93","61"
"8/10/2025","Rabu","MEDIUM PINK","106","52"
"8/10/2025","Rabu","MEDIUM FREE MAN","52","22"
"8/10/2025","Rabu","MEDIUM YELLOW","119","50"
"8/10/2025","Rabu","JUMBO ORI","82","79"
"8/10/2025","Rabu","JUMBO RAWIT","30","10"
"8/10/2025","Rabu","JUMBO PINK","74","37"
"8/10/2025","Rabu","JUMBO BAKAR","54","23"
